key,xValue,value
Sweden,1820,0
Sweden,1830,0
Sweden,1840,0
Sweden,1850,0
Sweden,1860,0
Sweden,1870,90179
Sweden,1880,401330
Sweden,1890,237248
Sweden,1900,244439
Sweden,1910,112957
Sweden,1920,100002
Sweden,1930,6551
Sweden,1940,9000
Sweden,1950,21418
Sweden,1960,18779
Sweden,1970,6371
Sweden,1980,10106
Sweden,1990,12614
Sweden,2000,14783
Sweden,2010,1299
Sweden,2011,1125
Sweden,2012,1127
Sweden,2013,1276
Sweden,2014,1147
Sweden,2015,1194
Switzerland,1820,3148
Switzerland,1830,4430
Switzerland,1840,4819
Switzerland,1850,24423
Switzerland,1860,21124
Switzerland,1870,25212
Switzerland,1880,81151
Switzerland,1890,37020
Switzerland,1900,32541
Switzerland,1910,22839
Switzerland,1920,31772
Switzerland,1930,5990
Switzerland,1940,9904
Switzerland,1950,17577
Switzerland,1960,19193
Switzerland,1970,8536
Switzerland,1980,8316
Switzerland,1990,11768
Switzerland,2000,12173
Switzerland,2010,868
Switzerland,2011,861
Switzerland,2012,916
Switzerland,2013,1040
Switzerland,2014,888
Switzerland,2015,1007
Turkey,1820,19
Turkey,1830,8
Turkey,1840,45
Turkey,1850,94
Turkey,1860,129
Turkey,1870,382
Turkey,1880,2478
Turkey,1890,27510
Turkey,1900,127999
Turkey,1910,160717
Turkey,1920,40374
Turkey,1930,1314
Turkey,1940,754
Turkey,1950,2980
Turkey,1960,9464
Turkey,1970,12209
Turkey,1980,19208
Turkey,1990,38687
Turkey,2000,48394
Turkey,2010,7435
Turkey,2011,9040
Turkey,2012,7362
Turkey,2013,7189
Turkey,2014,7248
Turkey,2015,8762
United Kingdom,1820,26336
United Kingdom,1830,74350
United Kingdom,1840,218572
United Kingdom,1850,445322
United Kingdom,1860,532956
United Kingdom,1870,578447
United Kingdom,1880,810900
United Kingdom,1890,328759
United Kingdom,1900,469518
United Kingdom,1910,371878
United Kingdom,1920,342762
United Kingdom,1930,61813
United Kingdom,1940,131794
United Kingdom,1950,195709
United Kingdom,1960,220213
United Kingdom,1970,133218
United Kingdom,1980,153644
United Kingdom,1990,156182
United Kingdom,2000,171979
United Kingdom,2010,14781
United Kingdom,2011,13443
United Kingdom,2012,13938
United Kingdom,2013,15321
United Kingdom,2014,14395
United Kingdom,2015,14653
Uruguay,1820,0
Uruguay,1830,0
Uruguay,1840,0
Uruguay,1850,0
Uruguay,1860,0
Uruguay,1870,22
Uruguay,1880,4
Uruguay,1890,144
Uruguay,1900,144
Uruguay,1910,144
Uruguay,1920,144
Uruguay,1930,153
Uruguay,1940,754
Uruguay,1950,1026
Uruguay,1960,4089
Uruguay,1970,8416
Uruguay,1980,7235
Uruguay,1990,6062
Uruguay,2000,9827
Uruguay,2010,1286
Uruguay,2011,1521
Uruguay,2012,1348
Uruguay,2013,1314
Uruguay,2014,1098
Uruguay,2015,1023
