key,xValue,value
Costa Rica,1830,0
Costa Rica,1840,0
Costa Rica,1850,0
Costa Rica,1860,2
Costa Rica,1870,4
Costa Rica,1880,1
Costa Rica,1890,4
Costa Rica,1900,4
Costa Rica,1910,4
Costa Rica,1920,4
Costa Rica,1930,580
Costa Rica,1940,1965
Costa Rica,1950,4044
Costa Rica,1960,17975
Costa Rica,1970,12405
Costa Rica,1980,25017
Costa Rica,1990,17054
Costa Rica,2000,21571
Costa Rica,2010,2306
Costa Rica,2011,2230
Costa Rica,2012,2152
Costa Rica,2013,2232
Costa Rica,2014,2018
Costa Rica,2015,2121
Cuba,1820,0
Cuba,1830,0
Cuba,1840,0
Cuba,1850,0
Cuba,1860,3420
Cuba,1870,8705
Cuba,1880,20134
Cuba,1890,23669
Cuba,1900,23669
Cuba,1910,23669
Cuba,1920,12769
Cuba,1930,10641
Cuba,1940,25976
Cuba,1950,73221
Cuba,1960,202030
Cuba,1970,256497
Cuba,1980,132552
Cuba,1990,159037
Cuba,2000,271742
Cuba,2010,33372
Cuba,2011,36261
Cuba,2012,32551
Cuba,2013,31343
Cuba,2014,46505
Cuba,2015,54178
Denmark,1820,173
Denmark,1830,927
Denmark,1840,671
Denmark,1850,3227
Denmark,1860,13553
Denmark,1870,29278
Denmark,1880,85342
Denmark,1890,56671
Denmark,1900,61227
Denmark,1910,45830
Denmark,1920,34406
Denmark,1930,3470
Denmark,1940,4549
Denmark,1950,10918
Denmark,1960,9797
Denmark,1970,4405
Denmark,1980,4847
Denmark,1990,6189
Denmark,2000,6049
Denmark,2010,545
Denmark,2011,473
Denmark,2012,492
Denmark,2013,546
Denmark,2014,533
Denmark,2015,634
Dominican Republic,1820,0
Dominican Republic,1830,0
Dominican Republic,1840,0
Dominican Republic,1850,0
Dominican Republic,1860,0
Dominican Republic,1870,0
Dominican Republic,1880,0
Dominican Republic,1890,0
Dominican Republic,1900,0
Dominican Republic,1910,0
Dominican Republic,1920,0
Dominican Republic,1930,1165
Dominican Republic,1940,4802
